number,set_keywords,keywords,sentence,postcard,postcard_zh
10,"nature, sand, leisure, water, surf, sky, relaxation, seashore, island","sand, surf, seashore, surf, sky, nature, island, water, relaxation, leisure","
The photo is of a sandy seashore with waves crashing against the shore. The sky is a beautiful blue and the water is a deep blue. There is an island in the distance. The photo looks very relaxing and makes me feel like I am on vacation.","
Hi friends, 

The sand, surf, and seashore are incredible here! I've been surfing and exploring the island, and the water is so refreshing. It's been great to relax and enjoy some leisure time. nature is incredible on the island. I hope you all get to experience it soon!","嗨，朋友們， 

 沙子，衝浪和海濱在這裡令人難以置信！ 我一直在衝浪和探索該島，水真是令人耳目一新。 放鬆身心並享受一些閒暇時間真是太好了。 大自然在島上令人難以置信。 希望大家能盡快體驗！"
11,"nature, sand, travel, sky, beach, seashore","beach, nature, sky, travel, nature, seashore, sand","
This beautiful photo was taken at the beach, and it really captures the serene nature of the location. The sky is so clear and blue, and the sand looks so soft and powdery. It's definitely a place that I would love to travel to and explore more of.","
Hi friends, 

I hope all is well! I am currently traveling and having the time of my life. I've been to some amazing places and seen some incredible things. Recently, I had the opportunity to spend some time at the beach. It was so beautiful. The sky was so blue and the ocean was so peaceful. I really enjoyed walking along the seashore and feeling the sand between my toes. It was a great experience and I'm so glad I had the opportunity to do it.

I'm not sure when I'll be back home, but I'll be sure to let you know. In the meantime, I hope you're all doing well and enjoying life.

Take care!","嗨，朋友們， 

 我希望一切都好！ 我目前正在旅行，並度過一生。 我去過一些了不起的地方，看到了一些令人難以置信的東西。 最近，我有機會在海灘上度過一段時間。 真漂亮。 天空是如此藍，海洋是如此寧靜。 我真的很喜歡沿著海邊行走，並感覺到腳趾之間的沙子。 這是一次很棒的經歷，我很高興有機會做到這一點。 

 我不確定我什麼時候回到家，但我一定會讓您知道。 同時，我希望你們都過得愉快，享受生活。 

 小心！"
12,"evening, vacation, sun","vacation, evening, sun","
The photo shows a family on vacation in the evening. The sun is setting and the sky is a beautiful orange color. The family is smiling and happy.","
-

Hi friends!

I hope you're all doing well! I'm currently on vacation and it's been great! The weather has been perfect - sunny every day and cool in the evenings. I've been doing a lot of walking around and exploring, and it's been so much fun!

I miss you all and can't wait to hear about what's been going on with you when I get back. In the meantime, enjoy the rest of your summer!

Love,

Your Friend"," -  

 嗨，朋友們！ 

 希望你們都過得很好！ 我目前正在度假，太好了！ 天氣非常完美 - 每天晴天，晚上很酷。 我一直在走來走去和探索，這真是太有趣了！ 

 我想念大家，迫不及待想听聽我回來時發生的事情。 同時，享受夏天的其餘時間！ 

 愛， 

 你的朋友"
13,"vacation, travel, water, summer, dawn","travel, water, summer, vacation, dawn","
The photo is from my recent vacation to the water. It was taken early in the morning, at dawn. The colors are very vibrant and beautiful. I'm standing on the edge of the water, with my feet in the water. The sun is just coming up, and the sky is a beautiful blue. There are some trees in the background, and the whole scene looks very peaceful.","
Dear friends,

I hope you're all doing well! I'm so excited to be on vacation – it's been years since I've been able to travel and I'm making the most of it. The water is lovely here – I've been swimming every day since I arrived. It's just what I needed to relax and recharge.

I hope you're all able to enjoy the summer as much as I am!

Dawn","親愛的朋友們， 

 希望你們都過得很好！ 我很高興能去度假 - 自從我能夠旅行並充分利用它已經有好幾年了。 這裡的水很可愛 - 自從我到達以來，我每天都在游泳。 這正是我需要放鬆和充電的東西。 

 希望大家能夠像我一樣享受夏天！ 

 黎明"
14,"sand, travel, water, sea, hot, beach, dawn, relaxation, people","sand, hot, travel, relaxation, water, sand, beach, sea, people, dawn","
The photo is of a beach at dawn. The sand is hot and the water is relaxing. The sea is a beautiful blue and the people are enjoying the beach.","
Hi friends, 

I hope you're all doing well! I'm currently on a lovely sandy beach enjoying the hot weather and the relaxation that comes with travel. The water here is so refreshing and the sea is so calm. It's lovely to people watch at dawn and see all the different characters that come out to enjoy the beach.

Hope you're all enjoying your summer,

Your Friend","嗨，朋友們， 

 希望你們都過得很好！ 我目前在一個可愛的沙灘上，享受炎熱的天氣和旅行帶來的放鬆。 這裡的水真是令人耳目一新，大海是如此平靜。 人們在黎明時觀看，看到所有不同的角色都可以享受海灘，這真是太好了。 

 希望你們都享受夏天， 

 你的朋友"
15,"sand, turquoise, sea, sport, sun, people","sun, sand, sea, people, sun, sport, turquoise","
This color photo is of people playing volleyball on a beach. The sand is a light brown color, and the sea is a beautiful turquoise. The sun is shining and there are people sunbathing on the sand.","
Hi friends,

Hope you're all doing well! I'm currently in paradise enjoying the sun, sand and sea. The people here are so friendly and the water is just amazing - it's such a beautiful turquoise color. I've been doing a lot of swimming and playing beach volleyball - it's been so much fun!

Wish you were here with me,

Your Friend","嗨，朋友們， 

 希望你們都過得很好！ 我目前在天堂裡享受陽光，沙子和海洋。 這裡的人是如此友好，水真是太棒了 - 它是如此美麗的綠松石色。 我一直在做很多游泳和打沙灘排球 - 真是太有趣了！ 

 希望你和我在一起 

 你的朋友"
16,"fun, fair weather, water, sea, summer, sun","water, sea, summer, water, fair weather, fun, sun, sun","
This photo shows a beautiful summer day spent near the water. The sea is calm and the weather is fair, making it the perfect place to have some fun in the sun.","
Hello friends, 

I hope all is well by you. I've been having a great summer so far full of lots of fun in the sun. The weather has been beautiful and the water has been amazing. I went to the sea for a vacation and it was so much fun. I'm already looking forward to next summer. I hope you all have a great summer as well. 

Take care, 
Your Friend","大家好， 

 我希望你一切都好。 到目前為止，我一直在陽光下度過一個愉快的夏天。 天氣很美，水也很棒。 我去海度假，這很有趣。 我已經期待明年夏天。 希望大家也度過一個愉快的夏天。 

 小心， 
 你的朋友"
17,"no person, vacation, water, recreation, summer, dawn, seashore, seascape","summer, no person, seashore, dawn, water, recreation, vacation, seascape","
The photo is of a summer seascape at dawn, with no people present. The water is calm and there is a sense of vacation and recreation.","
Dear friends, 

I hope you are doing well. I am currently enjoying my summer vacation and am having a blast! I'm sure you would love it here too - the seashore is beautiful, and there's no shortage of things to do. The water is perfect for recreation, and the seascapes are gorgeous.

I'm up early today, enjoying the dawn. It's so peaceful here with no one around. I can't wait to spend the rest of my vacation here!

Take care,

Your Friend","親愛的朋友們， 

 我希望你一切都好。 我目前正在享受我的暑假，並且正在爆炸！ 我敢肯定，您也會在這裡喜歡它 - 海邊很漂亮，而且不乏事情要做。 水非常適合娛樂，海景很漂亮。 

 我今天很早就享受著黎明。 這裡沒有人，周圍沒有人。 我等不及要在這裡度過剩下的假期！ 

 小心， 

 你的朋友"
18,"dune, no person, leisure, summer, sunset, dawn","summer, sunset, dune, no person, dawn, leisure","
This is a photo of a summer sunset over a dune, with no people present. It has the feeling of dawn or leisure.","
Dear friends,

The summer sun is setting on the dunes, and there's not a person in sight. It's a beautiful dawn, and I'm feeling so leisurely. I hope you're all doing well!","親愛的朋友們， 

 夏日的陽光正落在沙丘上，看不到人。 這是一個美麗的黎明，我感到非常悠閒。 希望你們都過得很好！"
19,"landscape, composure, recreation, surf, summer, relaxation, seascape","landscape, summer, composure, relaxation, seascape, recreation, surf","
In this photo, you can see a beautiful landscape with the summer sun shining down. The scene looks very peaceful and calming, with the seascape in the background. This is a great place to relax and enjoy some recreation. The surf looks perfect for surfing or just swimming.","
Hello friends!
I hope you're all doing well! I'm having a great time here at the beach. The landscape is beautiful and the weather is perfect. I'm feeling very relaxed and composed. The seascape is stunning and the surf is great for recreation. I'm really enjoying myself here and I hope you're all able to experience something similar soon!","大家好！ 
 希望你們都過得很好！ 我在海灘上度過了愉快的時光。 景觀很美，天氣也很完美。 我感到非常放鬆和組成。 海景令人驚嘆，衝浪非常適合娛樂。 我真的很開心，希望大家能夠盡快體驗類似的東西！"
20,"nature, fair weather, vacation, sunset, dawn, beach, turquoise","dawn, nature, beach, vacation, fair weather, sunset, turquoise","
This is a photo of the nature at dawn on a beach during vacation in fair weather. The turquoise sunset is beautiful.","
 Hi friends!

I'm having a great time on my vacation. The weather has been fair and the sunsets have been beautiful. I've been spending a lot of time at the beach, and it's been wonderful. The water is so turquoise and the sunrises are just gorgeous. I'm really enjoying myself and I hope you all are doing well too.

Best,

Your Friend","嗨，朋友們！ 

 我度假愉快。 天氣很公平，日落很美。 我在海灘上度過了很多時間，真是太好了。 水是如此的綠松石，日出鮮美。 我真的很開心，希望大家也一切順利。 

 最好的， 

 你的朋友"
21,"water, surf, sea, sunset, relaxation, ocean, seashore","water, seashore, sea, ocean, relaxation, surf, seashore, sunset, ocean","
The photo is of the water at the seashore at sunset. The water is a dark blue and the sky is a light pink. The sun is setting and the waves are crashing against the shore.","
Hi friends, 

I hope you're all doing well! I'm currently soaking up the sun and enjoying the blue waters of the ocean. It's so relaxing here and I can't get enough of the sound of the waves crashing against the shore. Every day I go for a walk along the beach and watch the sunset - it's absolutely breathtaking. 

I hope you get to experience the beauty of the ocean soon too!

Lots of love, 
Your Friend","嗨，朋友們， 

 希望你們都過得很好！ 我目前正在吸收陽光，享受海洋的藍色水域。 這裡太放鬆了，我無法獲得足夠的聲音，海浪撞擊了岸。 每天我都會沿著海灘散步，看日落 - 絕對令人嘆為觀止。 

 希望您也能盡快體驗海洋的美麗！ 

 滿滿的愛， 
 你的朋友"
22,"landscape, sand, desert, vacation, surf","sand, surf, desert, surf, landscape, vacation","
This photo depicts a sandy landscape with waves crashing in the foreground. The scene looks like it could be from a desert beach or vacation spot.","
My friends,

I hope all is well with you. I've been spending some time in the desert lately and it's been really great. The landscape is beautiful and the weather is perfect. I've been doing a lot of surfing and I've been having a great time. I'm really looking forward to my vacation. I hope you all have a great time too.

Best,

Your Friend","我的朋友， 

 我希望你一切安好。 我最近在沙漠裡度過了一段時間，這真的很棒。 景觀很美，天氣也很完美。 我一直在做很多衝浪，並且度過了愉快的時光。 我真的很期待我的假期。 希望大家也度過愉快的時光。 

 最好的， 

 你的朋友"
23,"bay, sea, sky, seashore, seascape","sky, bay, sky, seascape, sea, seashore, seascape","
This photo features a beautiful sky over a bay. The sea and seashore create a lovely seascape.","
Hi friends, 
I'm having an amazing time here! The sky is so blue and the bay is so beautiful. I can't believe how stunning the seascape is. The sea is so blue and the seashore is so lovely. I'm just loving every minute of it!

Lots of love, 
Your Friend","嗨，朋友們， 
 我在這裡度過了愉快的時光！ 天空是如此藍，海灣是如此美麗。 我不敢相信海景有多奇妙。 大海是如此的藍色，海邊是如此可愛。 我只是愛它的每一分鐘！ 

 滿滿的愛， 
 你的朋友"
24,"fair weather, child, sea, summer, sunset, beach","child, sea, summer, beach, sunset, fair weather","
This photo depicts a child playing at the beach during sunset on a summer day. The weather is fair, and the sea is visible in the background.","
Dear friends,

Greetings from the sunny coastline! I hope all is well with you. We've been having a blast here at the beach. The weather has been absolutely beautiful – not a cloud in the sky. Perfect weather for swimming, sunbathing, and all around fun.

The kids have been loving it too. They've been build sand castles, chasing waves, and generally just running around like crazy. It's been so great to see them having so much fun. I think they're really going to miss this place when we have to leave.

But we're making the most of it while we can. We've been staying out late to watch the sunset, and it's just been magical. I don't think I've ever seen anything so beautiful.

I hope you're all doing well and enjoying the summer. If you get a chance, come visit us here at the beach. I think you'll love it!

Best,

Your Friend","親愛的朋友們， 

 來自陽光海岸線的問候！ 我希望你一切安好。 我們一直在海灘上爆炸。 天氣絕對美麗 - 不是天空中的雲。 游泳，曬日光浴和周圍充滿樂趣的理想天氣。 

 孩子們也一直喜歡它。 他們一直在建造沙堡，追逐海浪，通常只是瘋狂地四處奔波。 看到他們玩得很開心真是太好了。 我認為當我們不得不離開時，他們真的會錯過這個地方。 

 但是，我們可以盡力而為。 我們一直呆在夜間觀看日落，這真是神奇。 我認為我從未見過如此美麗的東西。 

 希望你們都過得很好，並享受夏天。 如果您有機會，請快來在海灘訪問我們。 我想你會喜歡的！ 

 最好的， 

 你的朋友"
25,"sunset, sun, surf","surf, sun, sunset","
This photo appears to be of a sunset at the beach. The sun is setting and the sky is a beautiful orange color. There are waves crashing against the shore.","
Hi friends,

I'm having an amazing time here at the beach. The surf is great and the sunsets are beautiful. I'm really enjoying myself and I hope you are too.

Take care,

Your Friend","嗨，朋友們， 

 我在海灘上度過了愉快的時光。 衝浪很棒，日落很美。 我真的很開心，希望你也是。 

 小心， 

 你的朋友"
26,"travel, sunset, beach","beach, sunset, travel","
This is a photo of a beach at sunset. The water is a beautiful orange color and the sky is a dark blue. There are some trees in the photo, and you can see the sun setting behind them.","
Dear friends, 

I hope you're doing well! I've been having a great time here at the beach. The sunsets are so beautiful and I've gotten to travel a lot. I wish you could be here with me!

All the best, 

[Your Name]","親愛的朋友們， 

 我希望你一切都好！ 我在海灘上度過了愉快的時光。 日落是如此美麗，我經常旅行。 我希望你可以和我在一起！ 

 一切順利， 

 [你的名字]"
27,"sea, summer, wave","summer, sea, wave","
This photo captuers the perfect summertime vibe. The blue sea is areal eye-catcher, and the waves look like they'd be perfect for surfing or swimming.","
Hi friends, 

I hope you're all doing well! I'm having a great summer so far. I've been spending a lot of time at the beach, and it's been really nice. The waves are beautiful and the weather has been perfect. I've been able to relax and enjoy myself, and I'm really grateful for that.

I hope you're all able to enjoy the summer as well. Make sure to take some time for yourselves and have some fun!

All the best,

Your Friend","嗨，朋友們， 

 希望你們都過得很好！ 到目前為止，我度過了一個愉快的夏天。 我一直在海灘上度過很多時間，而且真的很好。 海浪很美，天氣也很完美。 我已經能夠放鬆並享受自己，我真的很感激。 

 希望大家也能夠享受夏天。 確保為自己花一些時間，並獲得一些樂趣！ 

 一切順利， 

 你的朋友"
28,"bikini, seashore, seascape","bikini, seashore, seashore, seascape","
The photo is of a woman in a bikini standing on a seashore in front of a seascape.","
Hi friends,

I'm having a great time at the seashore. The weather is perfect and the scenery is beautiful. I'm wearing my new bikini and I feel fabulous. I can't wait to go for a swim. I hope you're all doing well. I'll write again soon.

Love,

Your friend","嗨，朋友們， 

 我在海邊度過了愉快的時光。 天氣很完美，風景很美。 我穿著新的比基尼，感覺很棒。 我等不及要去游泳了。 我希望你們都過得很好。 我很快再寫。 

 愛， 

 你的朋友"
29,"water, sand, seashore, beach","beach, sand, seashore, beach, water","
The photo is of a beautiful beach with soft sand and the sparkling blue water of the seashore. The sun is shining and there are people enjoying the day by walking along the beach or playing in the waves.","
- How are you? 
- I'm good. 
- I'm at the beach. 
- The sand is really hot. 
- I'm going to go in the water. 
- The water is really cold. 
- I'm going to go back on the sand. 
- I hope you're doing well. 
- I'll see you soon.","- 你好嗎？ 
 - 我很好。 
  - 我在海灘。 
  - 沙子真的很熱。 
  - 我要去水。 
  - 水真的很冷。 
  - 我要回去沙灘。 
  - 希望你一切都好。 
 - 一會兒見。"
30,"nature, sand, no person, travel, dawn, sun, seashore","sun, dawn, sand, travel, sun, nature, no person, dawn, seashore","
This photo was taken at dawn, at the seashore. The sun is just peeking over the horizon, and the sand is glowing in its light. There's a feeling of travel and adventure in the air, and the photo captures the beauty and peace of nature.","
Dear friends, 

I hope this message finds you well. I'm currently traveling and today I woke up early to see the sun rise. It was beautiful. The sky was orange and pink and the sand was cool and soft. There was no one around and it felt like I had the whole seashore to myself. It was a really wonderful experience and I'm so grateful to have been able to see it.

I hope you're all doing well and that you get to experience something as lovely as this soon.

With love,","親愛的朋友們， 

 希望此消息能找到您的狀況。 我目前正在旅行，今天我很早就醒來，看到太陽升起。 它過去挺美。 天空是橙色和粉紅色的，沙子涼爽柔軟。 周圍沒有人，感覺就像我自己擁有整個海邊。 這是一次非常棒的經歷，我很高興能夠看到它。 

 我希望你們都做得很好，並且您很快就會體驗到像這麼可愛的事情。 

 有愛，"
31,"no person, sand, sea, sunset, tropical, sun, seascape","seascape, no person, sea, sand, sun, tropical, sunset, sun","
This photo is a seascape of the sea with no person in it. All you can see is the sea, the sand, and the sun at sunset. It looks like a very tropical place.","
Dear friends, 

I hope you're all doing well! I'm currently in paradise and loving every minute of it. The seascape here is absolutely breathtaking - it's like something out of a postcard. I can't believe I'm actually here. The sand is so soft and the water is so clear. The sunsets are just magical. I feel so lucky to be able to experience all this. I'm sure you're all missing me, but I promise I'll be back soon!

Lots of love,","親愛的朋友們， 

 希望你們都過得很好！ 我目前在天堂，愛它的每一分鐘。 這裡的海景絕對令人嘆為觀止 - 就像明信片中的東西。 我不敢相信我實際上是在這裡。 沙子是如此柔軟，水很清澈。 日落很神奇。 我很幸運能夠體驗所有這些。 我確定你們都想念我，但我保證我會很快回來！ 

 滿滿的愛，"
32,"sand, freedom, composure, travel, summer, sunset, sun","summer, sand, sunset, composure, travel, freedom, sun","
This photo looks like it was taken in the summertime, based on the sand and sunset in the background. The person in the photo seems to be very composed and at peace, possibly because they're traveling and experiencing new freedoms. The sun is setting in the photo, which could be interpreted as a metaphor for the end of a journey.","
Hey friends!

I hope you're all having a great summer! I've been spending my time relaxing on the beach, watching the sunset and just enjoying the peace and freedom that comes with travel. The sun has been shining and I'm feeling incredibly relaxed and composure. I feel so lucky to be able to experience all this! 

Wish you were here with me!","嘿，朋友們！ 

 希望你們都度過一個愉快的夏天！ 我一直在花時間在海灘上放鬆身心，看著日落，只是享受旅行帶來的和平與自由。 陽光普照，我感到非常放鬆和鎮定。 我很幸運能夠體驗所有這些！ 

 希望你和我在一起！"
33,"summer, nature, water, beach","nature, water, water, summer, beach","
The photo shows a beautiful summer scene with a beach and water in the background.","
Dear Friends,

Summer is finally here and I couldn't be happier! I've been spending as much time as I can outdoors, enjoying all the beautiful nature has to offer. I've been going for lots of walks and hikes, and even swimming in some of the local lakes and rivers. The water is so refreshing and it's been such a great way to cool off in the warmer weather.

I've also been spending a lot of time at the beach. It's been so nice to relax in the sand, soak up the sun, and paddle in the waves. I'm really looking forward to spending even more time outside in the coming weeks.

Thanks for keeping in touch. I hope you're all doing well.

All the best,

Your Friend","親愛的朋友們， 

 夏天終於來了，我再也不會快樂了！ 我一直在戶外度過盡可能多的時間，享受所有美麗的大自然所能提供的。 我一直在散步和遠足，甚至在當地的一些湖泊和河流中游泳。 水是如此令人耳目一新，在溫暖的天氣中，這是一種很好的方式。 

 我還在海灘上花了很多時間。 在沙灘上放鬆，吸收陽光並在海浪中划槳真是太好了。 我真的很期待在接下來的幾週內花更多的時間在外面。 

 感謝您保持聯繫。 我希望你們都過得很好。 

 一切順利， 

 你的朋友"
34,"landscape, dusk, vacation, summer, sky, beach, relaxation, tropical","beach, sky, tropical, vacation, summer, relaxation, landscape, dusk","
The photo is of a beach at dusk. The sky is a beautiful tropical blue, and the landscape is of palm trees and white sand. This is the perfect photo to describe a summer vacation, and it makes you feel very relaxed.","
Hi friends,

I hope you're all doing well! I'm currently on vacation in a tropical location and it's been absolutely amazing. The weather has been perfect and the landscape is breathtaking. I've been spending my days relaxing on the beach and exploring the local area. The evenings have been beautiful, with the sky turning a stunning pink color as the sun sets. I'm really loving it here and I'm sure I'll be sad to leave when the time comes.

Hope you're all enjoying the summertime!

All the best,

Your Friend","嗨，朋友們， 

 希望你們都過得很好！ 我目前在熱帶地點度假，這絕對是驚人的。 天氣非常完美，風景令人嘆為觀止。 我一直在度過海灘上放鬆身心並探索當地。 晚上很美，天空變成了令人驚嘆的粉紅色。 我在這裡真的很喜歡它，我敢肯定，當時間到來時，我會很難過。 

 希望你們都喜歡夏季！ 

 一切順利， 

 你的朋友"
35,"sand, water, sea, summer, sky, seashore, people, pet","sand, seashore, people, sea, water, pet, summer, summer, sky","
The photo is of a sand seashore with people in the sea water. There is a pet in the summer sky.","
Hi Friends,

I hope you're all doing well! I'm having a great time here at the beach. The sand is so soft and the water is so blue. There are so many people here, but it's still so relaxing. I even saw a sea turtle earlier! I'm really enjoying my summer vacation.

The sky is so clear and the sun is so bright. I can't wait to spend the rest of the day here. I hope you're all having a great summer too!

Love,

[Your Name]","嗨，朋友們， 

 希望你們都過得很好！ 我在海灘上度過了愉快的時光。 沙子是如此柔軟，水是如此藍。 這裡有很多人，但仍然很放鬆。 我什至早些時候看到了一隻海龜！ 我真的很喜歡暑假。 

 天空是如此晴朗，太陽是如此明亮。 我等不及要在這裡度過剩下的一天。 我希望你們也度過一個愉快的夏天！ 

 愛， 

 [你的名字]"
